dc_key,dispatch_date,dispatch_time,location_block,text_general_code
202112018994,2021-03-19,10:41:04,4500 BLOCK ISLAND AV,Thefts
202115013539,2021-02-25,16:44:00,E ROOSEVELT BLVD  /  WHITAKER AV,Motor Vehicle Theft
202124019454,2021-03-25,22:33:54,3100 BLOCK FRANKFORD AV,Weapon Violations
202135000451,2021-01-02,18:57:00,N PARK AV  /  CHELTEN AV,Motor Vehicle Theft
202119014625,2021-03-16,00:07:48,5900 BLOCK SPRING ST,Vandalism/Criminal Mischief
202102007312,2021-02-22,13:56:30,1000 BLOCK COMLY ST,Other Assaults
202102010539,2021-03-15,18:56:00,5500 BLOCK HILL CREEK CIR,Other Assaults
202122015111,2021-03-16,08:35:00,2900 BLOCK W ARIZONA ST,Vandalism/Criminal Mischief
202103000325,2021-01-03,00:19:32,0 BLOCK OREGON AV,Motor Vehicle Theft
202114014735,2021-03-21,14:12:57,0 BLOCK E MOUNT PLEASANT AV,All Other Offenses
202119056579,2021-10-12,16:31:00,5300 BLOCK LEBANON AV,Theft from Vehicle
202119017587,2021-03-29,08:42:00,5400 BLOCK ARCH ST,Theft from Vehicle
202139018868,2021-04-10,15:20:00,4500 BLOCK WAYNE AV,Narcotic / Drug Law Violations
202122018659,2021-04-01,11:09:00,1800 BLOCK N BOUVIER ST,Motor Vehicle Theft
202112019626,2021-03-21,20:22:48,7200 BLOCK SAYBROOK AV,Other Assaults
202135061835,2021-09-10,18:00:00,500 BLOCK W OLNEY AV,Other Assaults
202135021059,2021-03-19,20:09:31,5900 BLOCK N BROAD ST,Thefts
202118018534,2021-04-05,15:29:00,4600 BLOCK PASCHALL AV,Motor Vehicle Theft
202103008729,2021-02-25,16:32:00,600 BLOCK OREGON AVE,Motor Vehicle Theft
202112022269,2021-03-31,22:31:00,5400 BLOCK WARRINGTON AV,All Other Offenses
202115007460,2021-01-29,17:12:41,5400 BLOCK Discher St,Fraud
202124007125,2021-01-30,09:08:00,1800 BLOCK TORRESDALE AV,Thefts
202122006300,2021-02-01,14:08:00,2100 BLOCK N 33RD ST,Vandalism/Criminal Mischief
202122059742,2021-09-27,21:02:00,W NORRIS ST & N LAMBERT ST ,Arson
202108007409,2021-03-12,16:30:00,2900 BLOCK HOLME AVE,Other Assaults
202139013036,2021-03-13,01:12:56,3700 BLOCK N 19TH ST,Other Assaults
202139013718,2021-03-16,19:51:00,1700 BLOCK DOUNTON ST,Vandalism/Criminal Mischief
202117006972,2021-03-17,16:29:15,2300 BLOCK Federal St,All Other Offenses
202102011436,2021-03-22,01:11:14,6100 BLOCK LARGE ST,DRIVING UNDER THE INFLUENCE
202112012562,2021-02-22,09:42:00,5700 BLOCK WOODLAND AVE,All Other Offenses
202122021849,2021-04-15,17:05:00,2000 BLOCK W OXFORD ST,Other Assaults
202119057147,2021-10-15,11:49:00,5400 BLOCK POPLAR ST,Other Assaults
202119002450,2021-01-13,20:12:07,5300 BLOCK W OXFORD ST,Other Assaults
202139015501,2021-03-25,19:52:47,3300 BLOCK FOX ST,Narcotic / Drug Law Violations
202102015614,2021-04-17,12:21:00,800 BLOCK BRILL ST,Vandalism/Criminal Mischief
202102013091,2021-03-31,20:35:00,5900 BLOCK LORETTO AV,All Other Offenses
202115021345,2021-03-27,01:06:19,4200 BLOCK E CHELTENHAM AV,Vandalism/Criminal Mischief
202118023637,2021-04-30,11:23:00,0 BLOCK S 61ST ST,Vandalism/Criminal Mischief
202115020481,2021-03-24,04:29:55,2800 BLOCK LEVICK ST,Other Assaults
202139021477,2021-04-23,19:06:00,1800 BLOCK W VENANGO ST,Theft from Vehicle
202103033270,2021-07-18,21:51:00,0 BLOCK MIFFLIN ST,Thefts
202124025669,2021-04-20,20:44:00,1900 BLOCK E MADISON ST,Other Assaults
202135026092,2021-04-08,17:29:00,6600 BLOCK Ogontz Ave,Motor Vehicle Theft
202101004146,2021-03-12,14:18:00,1800 BLOCK MOORE ST,Vandalism/Criminal Mischief
